Name,Email Address,Lesson Summary,Quiz Summary,Assignment Summary,Grade Point Average,Gender,Age,Children,Completed_Nysc,Intermediate class Eligibility
1,,2023-01-24,77,61,17,Female,25,true,false,true
2,,2023-04-08,89,2,77,Male,31,false,false,false
3,,2023-01-12,80,61,59,Male,30,true,true,true
4,,2023-02-24,73,71,57,Male,24,true,true,true
5,,2023-03-08,92,82,13,Male,39,false,false,false
6,,2023-04-11,83,52,97,Male,26,false,true,true
7,,2023-03-07,48,48,96,Female,26,false,true,false
8,,2023-01-10,99,69,2,Male,28,false,false,true
9,,2023-03-17,67,2,53,Male,25,true,true,true
10,,2023-03-12,72,11,5,Male,27,false,true,true
11,,2023-02-18,74,37,1,Female,38,true,false,false
12,,2023-03-08,49,19,40,Male,27,false,false,true
13,,2023-02-27,100,26,36,Female,18,false,true,true
14,,2023-02-16,54,92,70,Male,29,false,true,false
15,,2023-02-06,46,84,64,Female,28,false,false,false
16,,2023-03-19,52,85,73,Male,23,true,false,false
17,,2023-01-07,48,41,1,Male,40,false,false,false
18,,2023-02-11,66,99,71,Female,21,false,true,true
19,,2023-02-06,73,40,10,Male,23,false,false,false
20,,2023-02-11,93,0,49,Female,18,false,true,false
21,,2023-02-23,70,31,32,Female,39,false,false,false
22,,2023-02-19,52,68,29,Male,37,false,false,false
23,,2023-01-28,98,86,49,Male,39,false,false,false
24,,2023-04-18,77,47,58,Male,30,true,true,true
25,,2023-04-22,99,89,53,Male,37,true,false,false
26,,2023-03-06,77,16,51,Female,31,false,true,true
27,,2023-03-05,72,89,49,Male,34,false,true,false
28,,2023-04-14,71,82,79,Male,35,false,true,true
29,,2023-01-22,85,41,82,Female,34,true,true,true
30,,2023-04-25,46,5,63,Female,30,true,true,false
31,,2023-04-11,63,65,61,Male,23,true,true,false
32,,2023-03-06,74,66,86,Female,34,false,true,false
33,,2023-04-19,72,53,95,Female,25,false,true,true
34,,2023-02-10,46,1,18,Male,39,true,true,true
35,,2023-01-07,89,52,51,Female,24,true,true,true
36,,2023-02-06,64,72,98,Male,37,false,true,false
37,,2023-02-13,79,9,81,Female,30,true,true,true
38,,2023-04-10,72,43,50,Female,40,false,true,true
39,,2023-01-23,54,45,57,Female,26,false,false,false
40,,2023-03-17,67,70,66,Male,23,true,true,false
41,,2023-02-02,86,57,94,Male,35,false,false,false
42,,2023-04-25,54,25,50,Male,31,true,false,true
43,,2023-03-20,61,57,32,Female,19,false,false,false
44,,2023-03-23,56,9,62,Male,24,true,true,false
45,,2023-01-30,54,98,9,Male,26,true,false,false
46,,2023-04-11,78,28,66,Female,28,false,false,false
47,,2023-02-09,47,39,84,Female,32,true,false,false
48,,2023-01-23,52,42,82,Female,25,false,true,true
49,,2023-01-27,50,12,91,Male,34,false,false,false
50,,2023-02-05,77,22,28,Male,23,false,true,true
